0001	Empty Slot
009A	流水大遺伝子
009B	氷結小遺伝子
009C	氷結中遺伝子
009D	氷結大遺伝子
009E	雷光小遺伝子
009F	雷光中遺伝子
00A0	雷光大遺伝子
00A1	破龍小遺伝子
00A2	破龍中遺伝子
00A3	破龍大遺伝子
00A4	全属小遺伝子
00A5	全属中遺伝子
00A6	全属大遺伝子
00A7	攻剛小遺伝子
00A8	攻剛中遺伝子
00A9	攻剛大遺伝子
00AA	攻速小遺伝子
00AB	攻速中遺伝子
00AC	攻速大遺伝子
00AD	攻技小遺伝子
00AE	攻技中遺伝子
00AF	攻技大遺伝子
00B0	耐剛小遺伝子
00B1	耐剛中遺伝子
00B2	耐剛大遺伝子
00B3	耐速小遺伝子
00B4	耐速中遺伝子
00B5	耐速大遺伝子
00B6	耐技小遺伝子
00B7	耐技中遺伝子
00B8	耐技大遺伝子
00B9	回避小遺伝子
00BA	回避中遺伝子
00BB	回避大遺伝子
00BC	竜巻遺伝子
00BD	本能遺伝子
00BE	リオレイアキラー遺伝子
00BF	リオレウスキラー遺伝子
00C0	イャンクッキラー遺伝子
00C1	ゲリョスキラー遺伝子
00C2	ティガレックスキラー遺伝子
00C3	ドスゲネボスキラー遺伝子
00C4	ドスイーオスキラー遺伝子
00C5	ドスジャギィキラー遺伝子
00C6	ドスランポスキラー遺伝子
00C7	ババコンガキラー遺伝子
00C8	ラージャンキラー遺伝子
00C9	ケチャワチャキラー遺伝子
00CA	ザボアザギルキラー遺伝子
00CB	ネルスキュラキラー遺伝子
00CC	ガルルガキラー遺伝子
00CD	クシャルダオラキラー遺伝子
00CE	テオテスカトルキラー遺伝子
00CF	キリンキラー遺伝子
00D0	フルフルキラー遺伝子
00D1	バサルモスキラー遺伝子
00D2	グラビモスキラー遺伝子
00D3	イビルジョーキラー遺伝子
00D4	ブラキディオスキラー遺伝子
00D5	ウルクススキラー遺伝子
00D6	ジンオウガキラー遺伝子
00D7	ガーグァキラー遺伝子
00D8	アプトノスキラー遺伝子
00D9	ポポキラー遺伝子
00DA	ズワロポスキラー遺伝子
00DB	ジャギィキラー遺伝子
00DC	ジャギィノスキラー遺伝子
00DD	ランポスキラー遺伝子
00DE	ゲネポスキラー遺伝子
00DF	イーオスキラー遺伝子
00E0	ガブラスキラー遺伝子
00E1	コンガキラー遺伝子
00E2	オルタロスキラー遺伝子
00E3	ブナハブラキラー遺伝子
00E4	クンチュウキラー遺伝子
00E5	スクアギルキラー遺伝子
00E6	ミラボレアスキラー遺伝子
00E7	[D] ティガレックスキラー遺伝子
00E8	セルレギオスキラー遺伝子
00E9	ディアボロスキラー遺伝子
00EA	モノブロスキラー遺伝子
00EB	ドスガレオスキラー遺伝子
00EC	ガレオスキラー遺伝子
00ED	ダイミョウザザミキラー遺伝子
00EE	ヤオザミキラー遺伝子
00EF	アプケロスキラー遺伝子
00F0	ランゴスタキラー遺伝子
00F1	バギィキラー遺伝子
00F2	ドスバギィキラー遺伝子
00F3	ロアルドロスキラー遺伝子
00F4	ボルボロスキラー遺伝子
00F5	ベリオロスキラー遺伝子
00F6	ドスファンゴキラー遺伝子
00F7	チャチャブーキラー遺伝子
00F8	大雷光虫キラー遺伝子
00F9	蝕龍蟲キラー遺伝子
00FA	ウロコトルキラー遺伝子
00FB	ルドロスキラー遺伝子
00FC	クルペッコキラー遺伝子
00FD	アオアシラキラー遺伝子
00FE	ウラガンキンキラー遺伝子
00FF	ラギアクルスキラー遺伝子
0100	アグナコトルキラー遺伝子
0101	ドボルベルクキラー遺伝子
0102	ナルガクルガキラー遺伝子
0103	ブルファンゴキラー遺伝子
0104	タルアイルーキラー遺伝子
0105	ガノトトスキラー遺伝子
0106	スピードスター遺伝子
0107	ガードスター遺伝子
0108	バイタルスター遺伝子
0109	根性遺伝子
010A	逆境遺伝子
010B	底力遺伝子
010C	真っ向遺伝子
010D	捕食小遺伝子
010E	捕食中遺伝子
010F	捕食大遺伝子
0110	巣守遺伝子
0111	絆小遺伝子
0112	絆中遺伝子
0113	絆大遺伝子
0114	速攻火遺伝子
0115	速攻水遺伝子
0116	速攻雷遺伝子
0117	速攻氷遺伝子
0118	速攻龍遺伝子
0119	晩成火遺伝子
011A	晩成水遺伝子
011B	晩成雷遺伝子
011C	晩成氷遺伝子
011D	晩成龍遺伝子
011E	ボマー遺伝子
011F	癒し遺伝子
0120	[D] 空腹遺伝子
0121	指示小遺伝子
0122	指示中遺伝子
0123	指示大遺伝子
0124	無傷遺伝子
0125	加速小遺伝子
0126	加速中遺伝子
0127	加速大遺伝子
0128	会心小遺伝子
0129	会心中遺伝子
012A	会心大遺伝子
012B	攻撃小遺伝子
012C	攻撃中遺伝子
012D	攻撃大遺伝子
012E	防御小遺伝子
012F	防御中遺伝子
0130	防御大遺伝子
0131	O足小遺伝子
0132	O足中遺伝子
0133	O足大遺伝子
0134	体力小遺伝子
0135	体力中遺伝子
0136	体力大遺伝子
0137	好戦小遺伝子
0138	好戦中遺伝子
0139	好戦大遺伝子
013A	勝どき遺伝子
013B	火鱗遺伝子
013C	水鱗遺伝子
013D	雷鱗遺伝子
013E	氷鱗遺伝子
013F	龍鱗遺伝子
0140	龍圧遺伝子
0141	大轟竜遺伝子
0142	ドスプーギー遺伝子
0143	クレナイ遺伝子
0144	エポナ遺伝子
0145	くまアシラ遺伝子
0146	斬竜遺伝子
