0001	Empty Slot
00A1	Draconic Gene (S)
00A2	Draconic Gene (M)
00A3	Draconic Gene (L)
00A4	All-Elem Gene (S)
00A5	All-Elem Gene (M)
00A6	All-Elem Gene (L)
00A7	Power Gene (S)
00A8	Power Gene (M)
00A9	Power Gene (L)
00AA	Speed Gene (S)
00AB	Speed Gene (M)
00AC	Speed Gene (L)
00AD	Tech Gene (S)
00AE	Tech Gene (M)
00AF	Tech Gene (L)
00B0	Power Res Gene (S)
00B1	Power Res Gene (M)
00B2	Power Res Gene (L)
00B3	Speed Res Gene (S)
00B4	Speed Res Gene (M)
00B5	Speed Res Gene (L)
00B6	Tech Res Gene (S)
00B7	Tech Res Gene (M)
00B8	Tech Res Gene (L)
00B9	Evasion Gene (S)
00BA	Evasion Gene (M)
00BB	Evasion Gene (L)
00BC	Cyclone Gene
00BD	Escape Gene
00BE	*Rathian Killer Gene
00BF	*Rathalos Killer Gene
00C0	*Yian Kut-Ku Killer Gene
00C1	*Gypceros Killer Gene
00C2	*Tigrex Killer Gne
00C3	*Gendrome Killer Gene
00C4	*Iodrome Killer Gene
00C5	*Great Jaggi Killer Gene
00C6	*Velocidrome Killer Gene
00C7	*Congalala Killer Gene
00C8	*Rajang Killer Gene
00C9	*Kecha Wacha Killer Gene
00CA	*Zamtrios Killer Gene
00CB	*Nerscylla Killer Gene
00CC	*Yian Garuga Killer Gene
00CD	*Kushala Daora Killer Gene
00CE	*Teostra Killer Gene
00CF	*Kirin Killer Gene
00D0	*Khezu Killer Gene
00D1	*Basarios Killer Gene
00D2	*Gravios Killer Gene
00D3	*Deviljho Killer Gene
00D4	*Brachydios Killer Gene
00D5	*Lagombi Killer Gene
00D6	*Zinogre Killer Gene
00D7	*Gargwa Killer Gene
00D8	*Aptonoth Killer Gene
00D9	*Popo Killer Gene
00DA	*Slagtoth Killer Gene
00DB	*Jaggi Killer Gene
00DC	*Jaggia Killer Gene
00DD	*Velociprey Killer Gene
00DE	*Genprey Killer Gene
00DF	*Ioprey Killer Gene
00E0	*Remobra Killer Gene
00E1	*Conga Killer Gene
00E2	*Altaroth Killer Gene
00E3	*Bnahabra Killer Gene
00E4	*Konchu Killer Gene
00E5	*Zamite Killer Gene
00E6	*Fatalis Killer Gene
00E7	*Tigrex Killer Gne
00E8	*Seregios Killer Gene
00E9	*Diablos Killer Gene
00EA	*Monoblos Killer Gene
00EB	*Cephadrome Killer Gene
00EC	*Cephalos Killer Gene
00ED	*Daimyo Hermitaur Killer Gene
00EE	*Hermitaur Killer Gene
00EF	*Apceros Killer Gene
00F0	*Vespoid Killer Gene
00F1	*Baggi Killer Gene
00F2	*Great Baggi Killer Gene
00F3	*Royal Ludroth Killer Gene
00F4	*Barroth Killer Gene
00F5	*Barioth Killer Gene
00F6	*Bulldrome Killer Gene
00F7	*Shakalaka Killer Gene
00F8	*Thunderbug Killer Gene
00F9	*Dracophagebug  Killer Gene
00FA	*Uroktor Killer Gene
00FB	*Ludroth Killer Gene
00FC	*Qurupeco Killer Gene
00FD	*Arzuros Killer Gene
00FE	*Uragaan Killer Gene
00FF	*Lagiacrus Killer Gene
0100	*Agnaktor Killer Gene
0101	*Duramboros Killer Gene
0102	*Nargacuga Killer Gene
0103	*Bullfango Killer Gene
0104	*Barrel Felyne Killer Gene
0105	*Plesioth Killer Gene
0106	*Speed Star Gene
0107	*Guard Star Gene
0108	*Vital Star Gene
0109	Tenacity Gene
010A	Survivor Gene
010B	Potential Gene
010C	Head-to-Head Gene
010D	Predatory Gene (S)
010E	Predatory Gene (M)
010F	Predatory Gene (L)
0110	Nesting Gene
0111	Kinship Gene (S)
0112	Kinship Gene (M)
0113	Kinship Gene (L)
0114	Quickfire Gene
0115	Quickwater Gene
0116	Quickthunder Gene
0117	Quickice Gene
0118	Quickdragon Gene
0119	Latent Fire Gene
011A	Latent Water Gene
011B	Latent Thunder Gene
011C	Latent Ice Gene
011D	Latent Dragon Gene
011E	Bombardier Gene
011F	Soothing Gene
0120	*Hungry Gene
0121	Order Gene (S)
0122	Order Gene (M)
0123	Order Gene (L)
0124	Unscathed Gene
0125	Quick Gene (S)
0126	Quick Gene (M)
0127	Quick Gene (L)
0128	Critical Gene (S)
0129	Critical Gene (M)
012A	Critical Gene (L)
012B	Attack Gene (S)
012C	Attack Gene (M)
012D	Attack Gene (L)
012E	Defense Gene (S)
012F	Defense Gene (M)
0130	Defense Gene (L)
0131	*O Feet (Small) Gene
0132	*O Feet (Mid) Gene
0133	*O Feet (Large) Gene
0134	Health Gene (S)
0135	Health Gene (M)
0136	Health Gene (L)
0137	Warlike Gene (S)
0138	Warlike Gene (M)
0139	Warlike Gene (L)
013A	*Victory Cry Gene
013B	Fire Scale Gene
013C	Water Scale Gene
013D	Thunder Scale Gene
013E	Ice Scale Gene
013F	Draconic Scale Gene
0140	Dragon Aura Gene
0141	Molten Tigrex Gene
0142	Great Poogie Gene
0143	Goukami Gene
0144	Epona Gene
0145	*Kumamoros Gene
0146	Glavenus Gene
